Checked,Tags,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: mzVault Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. Source: BioCyc Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,# mzVault Results,mzCloud Best Match,mzCloud Best Match Confidence,mzVault Best Match,mzVault Library Match: Bamba lab 34 lipid mediators library stepped NCE 10 30 45,mzVault Library Match: Bamba lab 598 polar metabolites stepped NCE 10 30 45,mzVault Library Match: HILIC_FeihnLab,mzVault Library Match: HMDB_MoNA,mzVault Library Match: STD_LIB_HILIC,mzVault Library Match: MSDIAL-TandemMassSpectralAtlas-VS68-Pos,mzVault Library Match: MSMS-Public-Pos-VS15_1,mzVault Library Match: MSMS-Public-Pos-VS15_2,mzVault Library Match: MSMS-Public-Pos-VS15_3,MS2,Area: 04_2nd_extr_After-8_20201022_FS_Disc_Pos_01.raw (F3),Area: 05_2nd_extr_After-4_20201022_FS_Disc_Pos_01.raw (F4),Area: 06_1st_extr_After-4_Extract20200917_FS_Disc_Pos_01.raw (F5),Area: 08_2nd_extr_After-5_20201022_FS_Disc_Pos_01.raw (F7),Area: 10_1st_extr_After-2_Extract20200917_FS_Disc_Pos_01.raw (F9),Area: 12_1st_extr_After-12_Extract20200917_FS_Disc_Pos_01.raw (F11),Area: 14_1st_extr_After-11_Extract20200917_FS_Disc_Pos_01.raw (F13),Area: 16_2nd_extr_After-17_20201022_FS_Disc_Pos_01.raw (F15),Area: 17_2nd_extr_After-20_20201022_FS_Disc_Pos_01.raw (F16),Area: 18_1st_extr_After-7_Extract20200917_FS_Disc_Pos_01.raw (F17),Area: 19_2nd_extr_After-15_20201022_FS_Disc_Pos_01.raw (F18),Area: 24_1st_extr_After-1_Extract20200917_FS_Disc_Pos_01.raw (F23),Area: 30_2nd_extr_After-7_20201022_FS_Disc_Pos_01.raw (F29),Area: 31_2nd_extr_After-19_20201022_FS_Disc_Pos_01.raw (F30),Area: 40_2nd_extr_After-13_20201022_FS_Disc_Pos_01.raw (F40),Area: 41_1st_extr_After-8_Extract20200917_FS_Disc_Pos_01.raw (F41),Area: 49_1st_extr_After-5_Extract20200917_FS_Disc_Pos_01.raw (F49),Area: 50_1st_extr_After-9_Extract20200917_FS_Disc_Pos_01.raw (F50),Area: 52_2nd_extr_After-14_20201022_FS_Disc_Pos_01.raw (F52),Area: 54_2nd_extr_After-6_20201022_FS_Disc_Pos_01.raw (F54),Area: 57_1st_extr_After-3_Extract20200917_FS_Disc_Pos_01.raw (F57),Area: 59_2nd_extr_After-1_20201022_FS_Disc_Pos_01.raw (F59),Area: 62_2nd_extr_After-9_20201022_FS_Disc_Pos_01.raw (F62),Area: 63_2nd_extr_After-2_20201022_FS_Disc_Pos_01.raw (F63),Area: 64_1st_extr_After-6_Extract20200917_FS_Disc_Pos_01.raw (F64),Area: 69_2nd_extr_After-18_20201022_FS_Disc_Pos_01.raw (F69),Area: 70_2nd_extr_After-12_20201022_FS_Disc_Pos_01.raw (F70),Area: 72_2nd_extr_After-3_20201022_FS_Disc_Pos_01.raw (F72),Area: 73_2nd_extr_After-11_20201022_FS_Disc_Pos_01.raw (F73),Area: 75_1st_extr_After-10_Extract20200917_FS_Disc_Pos_01.raw (F75),Area: 76_2nd_extr_After-16_20201022_FS_Disc_Pos_01.raw (F76),Area: 77_2nd_extr_After-10_20201022_FS_Disc_Pos_01.raw (F77),Area: 03_2nd_extr_Before-6_20201022_FS_Disc_Pos_01.raw (F2),Area: 07_1st_extr_Before-10_Extract20200917_FS_Disc_Pos_01.raw (F6),Area: 09_2nd_extr_Before-14_20201022_FS_Disc_Pos_01.raw (F8),Area: 13_2nd_extr_Before-4_20201022_FS_Disc_Pos_01.raw (F12),Area: 15_2nd_extr_Before-19_20201022_FS_Disc_Pos_01.raw (F14),Area: 21_1st_extr_Before-9_Extract20200917_FS_Disc_Pos_01.raw (F20),Area: 22_2nd_extr_Before-2_20201022_FS_Disc_Pos_01.raw (F21),Area: 23_1st_extr_Before-4_Extract20200917_FS_Disc_Pos_01.raw (F22),Area: 25_1st_extr_Before-7_Extract20200917_FS_Disc_Pos_01.raw (F24),Area: 26_2nd_extr_Before-7_20201022_FS_Disc_Pos_01.raw (F25),Area: 27_2nd_extr_Before-8_20201022_FS_Disc_Pos_01.raw (F26),Area: 28_2nd_extr_Before-5_20201022_FS_Disc_Pos_01.raw (F27),Area: 32_1st_extr_Before-2_Extract20200917_FS_Disc_Pos_01.raw (F31),Area: 33_1st_extr_Before-3_Extract20200917_FS_Disc_Pos_01.raw (F32),Area: 35_2nd_extr_Before-1_20201022_FS_Disc_Pos_01.raw (F34),Area: 36_2nd_extr_Before-11_20201022_FS_Disc_Pos_01.raw (F35),Area: 37_2nd_extr_Before-13_20201022_FS_Disc_Pos_01.raw (F37),Area: 39_1st_extr_Before-6_Extract20200917_FS_Disc_Pos_01.raw (F39),Area: 42_1st_extr_Before-8_Extract20200917_FS_Disc_Pos_01.raw (F42),Area: 43_2nd_extr_Before-20_20201022_FS_Disc_Pos_01.raw (F43),Area: 44_2nd_extr_Before-21_20201022_FS_Disc_Pos_01.raw (F44),Area: 46_1st_extr_Before-1_Extract20200917_FS_Disc_Pos_01.raw (F46),Area: 48_1st_extr_Before-5_Extract20200917_FS_Disc_Pos_01.raw (F48),Area: 53_2nd_extr_Before-10_20201022_FS_Disc_Pos_01.raw (F53),Area: 55_2nd_extr_Before-18_20201022_FS_Disc_Pos_01.raw (F55),Area: 58_2nd_extr_Before-3_20201022_FS_Disc_Pos_01.raw (F58),Area: 60_2nd_extr_Before-9_20201022_FS_Disc_Pos_01.raw (F60),Area: 66_2nd_extr_Before-12_20201022_FS_Disc_Pos_01.raw (F66),Area: 67_2nd_extr_Before-17_20201022_FS_Disc_Pos_01.raw (F67),Area: 68_2nd_extr_Before-15_20201022_FS_Disc_Pos_01.raw (F68),Area: 71_2nd_extr_Before-16_20201022_FS_Disc_Pos_01.raw (F71),Area: 01_Water_Blank_20201022_FS_Disc_Pos_01.raw (F36),Area: 78_Water_Blank_20201022_FS_Disc_Pos_02.raw (F78),Area: 02_Pooled_QC1_20201022_FS_Disc_Pos_01.raw (F1),Area: 11_Pooled_QC1_20201022_FS_Disc_Pos_02.raw (F10),Area: 20_Pooled_QC1_20201022_FS_Disc_Pos_03.raw (F19),Area: 29_Pooled_QC1_20201022_FS_Disc_Pos_04.raw (F28),Area: 38_Pooled_QC1_20201022_FS_Disc_Pos_05.raw (F38),Area: 47_Pooled_QC1_20201022_FS_Disc_Pos_06.raw (F47),Area: 56_Pooled_QC1_20201022_FS_Disc_Pos_07.raw (F56),Area: 65_Pooled_QC1_20201022_FS_Disc_Pos_08.raw (F65),Area: 74_Pooled_QC1_20201022_FS_Disc_Pos_09.raw (F74),Area: 79_Pooled_QC1_20201022_FS_Disc_Pos_10.raw (F79),Group Area: After,Group Area: Before,Group Area: QC1-SameVial,Group CV [%]: After,Group CV [%]: Before,Group CV [%]: QC1-SameVial,Ratio: (After) / (Before),Log2 Fold Change: (After) / (Before),P-value: (After) / (Before),Adj. P-value: (After) / (Before)
FALSE,,creatinine,C4 H7 N3 O,Full match,No results,No results,No results,Partial match,Full match,0.16,113.05893,2.945,42153399659,2,0,0,,,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,14695212828,14879590806,28935691945,13691652709,15619916251,11828418518,12506316035,29308521355,9707588463,8358910778,9529550483,30304615469,17712066823,16361648344,10303751175,19222130209,32381591458,16292048846,24196385619,11718979469,17925067230,12788935001,32854047927,13280715510,14878317619,14743615287,24401866909,11552969212,26793374737,39188116412,24836090697,13142556665,19715369202,34936783511,1742900562,22018365312,26499133995,23716843933,16385797035,33266321557,23703921564,22242447645,15501406207,16854468067,15665850535,19168882039,15513596924,18255319379,16988666416,38513821683,28408204886,22720612026,16221849529,36301109010,33280788530,26817750947,25567096714,20844867603,33459302492,8129026623,21242180017,15275067506,42153399659,48439150.95,75649388.55,23859607116,22963866888,23366607100,22747921571,25821384683,25649407221,26115607606,24885056156,24118054120,27101169509,15249753528,22018365312,24501555138,43.87796031,39.23963115,5.983077957,0.693,-0.53,0.264773856,0.402596963
FALSE,,creatinine,C4 H7 N3 O,Full match,No results,No results,No results,Partial match,Full match,0.39,113.05896,2.733,33780509283,2,0,0,,,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,50084843.78,50927112.02,4494501089,2065081508,2923706668,2262918009,84773170.14,5729082027,64630790.46,1582516077,44369071,255047288.8,3454371572,3343099969,74720491.31,125026375.6,202568188.8,4441235.079,5153163445,2645666588,4775945.943,111397368.3,7783480775,2084231877,90239143.43,1692621537,5442559807,2354422596,5905734811,26646085.2,3295188143,2973895013,3408025.69,33780509283,972357667.4,4455134257,5471809791,4917374803,3424937783,995903700.2,23187739558,4473415729,83743948.69,22665038.71,125387731.2,3872456592,204334073.1,3707227869,2728926862,8791225695,6271841629,5159567173,136851696.3,7754786060,227481706.6,6061301682,6041070202,4628464169,7844140647,121795005.6,4661323953,2313548951,11410630085,1332491.797,6338806.549,4761624049,7937788.608,4621706950,4672756256,145973325.1,2668452453,5770299402,2450755281,7385944095,6305720049,1878851522,4455134257,4647231603,106.1006948,132.5986327,64.39106,0.422,-1.25,0.104530739,0.183676484
TRUE,,glycine betaine,C5 H12 N O2,No match,No results,No results,No match,No match,Invalid mass,-8535,117.07893,6.958,18461099447,14,0,0,,,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,2399907500,2633111819,1955069829,2362941728,1235372565,645002668.6,911699874.9,2073720166,1970655094,1165087999,1673255969,1259908897,1750595374,1665880923,2955065209,1511882215,1486340096,1158109095,2590752857,2363449346,1215176254,1738532894,2340589602,1229983340,1299432632,2174167541,2117418094,3235274553,1947103654,1525376837,2269119843,2078600628,5981384032,9974437354,6026933359,4505178686,5753493748,10197535629,4933013514,7768349464,14494961173,4833019629,7574165693,5230180269,8094662994,11714211855,6413212829,11286424087,9057703171,12208474595,6517105333,7806497372,6310373538,15568201959,8583043213,6145577344,5618485419,14044298967,9169014381,18461099447,8645151903,17597400112,6335982635,15508379.89,22431773.2,5576641250,5705969939,5777328624,5719738848,6953786221,6663198245,6403303826,7007681241,7361022054,6855714882,1848849514,7806497372,6533251035,32.91830185,42.73822725,10.26389556,0.237,-2.08,1E-15,8.8662E-15
TRUE,,betaine aldehyde,C5 H12 N O,No match,No results,No results,No results,No results,Invalid mass,9871.55,103.09969,5.206,17355743972,0,0,0,,,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,1094822949,1125994122,737160364.9,1412476817,519930088.4,376096595.4,857548140.9,1415623644,1208457598,430624947.5,932549548.1,735272244.7,916650835.4,1125529544,1804131028,1051516932,834518754.2,968717827.2,1237899575,1452328766,557741536.7,871605540.5,1751631302,1009253607,877885380.9,1023429803,965722899.6,2024819589,1353507097,975204580.4,1401404022,1125740390,4393203273,7515601065,5347039847,4501969485,6115507298,9236552385,3889255931,4312179076,13483180547,4911676713,6393612529,5855358633,4931326948,11564506399,3129195912,13172986681,8834279284,7785309646,3237740657,4795296239,5613911057,15910936958,5674517338,6522899656,5724185974,13273162550,9460357866,16454281535,7347522900,17355743972,4423119303,5976101.758,5125340.034,4562037984,4926167237,5314518364,4881480367,5310377700,5371872878,5400103478,5793032751,5676497510,5858299536,1016341705,6115507298,5343195621,35.59204526,52.62796993,7.868078311,0.166,-2.59,1E-15,8.8662E-15
FALSE,,5-valerolactone,C5 H8 O2,Full match,No results,No results,No results,Partial match,Full match,-0.02,100.05243,7.087,15083467670,21,0,0,,,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,100398486.8,2074237977,1560665979,1802731809,89141849.67,24005123.47,64972886.56,1675200248,1576331795,122948526,1295957308,1112530887,1477847221,1366568294,2431053920,1325951482,1180802764,961010386.5,2168045757,1983959944,1039761256,1352438649,355101693.1,972503032.6,268032874.8,1642215134,1683164201,2631426512,1588186113,223710873.3,1826566598,1709430012,4668592242,8126168241,4438199450,3572995057,4503544277,8819118168,4007545706,2722849263,11980377913,3783057693,6114341422,4149624646,6642941556,10079545944,5129067035,9102752813,7085499693,10162924838,892335201,6205086287,4828712993,13610049757,7081112819,4843490158,4406001878,11165794782,7246300538,15083467670,6935747288,14330072582,4899610686,12641031.25,19816307.34,4437933746,4699816947,4643744238,4661766261,5544406984,5375450554,579366255.8,5852541988,5982746274,5338515260,1359503471,6205086287,5019166103,59.75751429,50.39646529,32.88197682,0.219,-2.19,1E-15,8.8662E-15
TRUE,,creatine,C4 H9 N3 O2,Full match,No results,No results,No results,Full match,Full match,-0.19,131.06945,7.477,6477198493,2,0,0,,,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,4697349181,5173184210,4623532911,5287671995,2388719387,712078442.1,1680364485,5646441639,4205467337,2070103374,3870759835,2059475152,4153219287,3925625763,5970093664,3187783386,3639867154,2065413469,5494037468,5033036874,1509354005,3633104044,5919629706,2434823191,2247070634,4389417549,5117593174,6477198493,4571884922,4188700916,4807775313,4443621002,3675012927,2540470914,2977031798,2765919489,2533606450,1739850888,2173636542,2994673697,3596913546,2765596119,2438992313,2963618368,1401381501,1674230978,3002818673,2105699267,2345741397,4388875280,2431067245,3330248663,501700984.2,4324620139,3284242234,3330552811,3292398085,2726461556,3917020884,1634005077,2360705419,1894293531,4280092327,3271445.663,4327282.109,3541410458,3257583298,3342945316,3204562481,3836701908,3755876645,3707872909,3893390163,3889880120,3931665902,4197084126,2765596119,3731874777,37.95260982,32.67071068,7.681280499,1.518,0.6,0.010257434,0.022836622
TRUE,,hypoxanthine,C5 H4 N4 O,Full match,No results,Full match,Partial match,Partial match,Full match,-0.06,136.0385,2.558,4936659224,5,0,5,,,56.9,No matches found,No matches found,No matches found,No matches found,Multiple matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,1428023047,1387391789,397946750.9,1002401848,495664405.3,194011650.4,337672841.9,1511325685,1154058419,606181105.2,948252699.5,919151611.8,857237183.9,469792813.5,2328296224,1221339398,799174288.1,667841732.9,1006358203,2176881224,781962064.3,507197365.1,2158798596,895053186.5,963510378.9,796830875.6,464484277.5,2547286130,1457708434,917877273.7,1586076502,1209843029,2911643566,1095790273,1766421703,1727037740,2816104160,1688775572,2646739822,633745492,1835902047,2296485449,1983027182,2181160312,901447993.9,2423480541,1866564570,4064430224,3084236780,1330346803,1005934526,2850093688,1311183094,2539542016,1334615197,3005723805,2500875970,3703995057,2877304472,2245763000,2377448698,4936659224,1006468873,1152843.009,1757457.529,1669339404,1537362287,1618404606,1573750367,1782988641,1852027466,1914207837,1815040774,1867713003,1939104843,933702155.6,2245763000,1799014707,55.64041371,43.72566963,8.311345667,0.416,-1.27,8.6909E-08,4.86304E-07
TRUE,,N-methylpyrrolidone,C5 H9 N O,Full match,No results,No results,Partial match,Full match,Full match,0.01,99.06841,0.852,4627873092,7,0,0,,,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,103960477.1,113539482.2,161099436.9,168939861.9,96661281.86,98980425.06,110430727.3,81183434.05,91597684.73,145078238.5,138347666.9,266025032.8,169949528.4,200317176.1,201300499.4,385207874.9,136710881.9,305748568.5,243723959.1,227246724.1,266365789.1,125854881.6,186414061.7,77814571.83,350953400.5,135463487.9,224967004.2,225411002.7,158738448,150575488.8,169205913.4,171267589.3,274638480.1,2113729938,178457793,141103451.9,139132785.9,3183026243,200643863.3,3607253490,527099249.1,579030906.8,84005575.24,180712842.1,1843089280,4627873092,195078011.5,171541126,186321467.7,988222775.9,1847830956,267775050.3,157219949.5,863723648.4,1108109204,209069278.1,211460741.1,336115931.6,787874003.5,219852438.3,251068679.1,404165341.2,211958037.8,1029121.854,1073484.481,747644460,578045486.6,643200158,885268605.5,754777464.9,831763787.1,806250678,863021786.8,939678062.4,971310671.7,165019649.4,267775050.3,819007232.5,43.04403215,135.4398748,15.53505369,0.616,-0.7,1.46323E-05,5.68582E-05
TRUE,,L-valine,C5 H11 N O2,Full match,No results,No results,Full match,Full match,Full match,0.48,117.07904,0.882,4582321604,14,0,0,,,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,103901348.6,119446675.1,168015636.7,172769086.5,97328370.72,99375034.82,111464996.8,89964823.38,96771312.5,147405672.8,143095822.8,271475455,173442901.9,204368700.6,204955874.5,575993955.2,140635164.9,306144483.8,247135974.8,230218587.7,266080932.8,128462595.4,191237033,80799064.71,506672885.9,142671405.1,228570627.4,232058988.9,161993350.5,95753507.92,174375414.8,177222731.2,278640545.8,2070640269,176445628.5,141235869.1,139930821.3,3129878343,202281758.4,3536316233,514295723.2,577644431.8,83503055.29,178697085.4,1817331922,4582321604,195399333.1,171578579,282068683.2,1418545189,2676881848,264878531.2,198749095.7,850283285.9,1082881619,209427320.3,209718087.2,392594704.6,993334660,216162310.7,248349836.7,398625863.4,211843160,1874655.348,872664.1884,732183887,562985682,628498931.8,879655752.8,1073839500,819867637.8,1106180246,853278058.5,929520356.7,958136867.8,170392361.6,278640545.8,866466905.6,57.66618344,130.8563012,20.66857978,0.612,-0.71,1.84374E-05,7.05554E-05
FALSE,,PEG n7,C14 H30 O8,Full match,Full match,No results,No results,Full match,No results,-1.27,326.19365,1.011,4412796750,1,4,0,99.5,10,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,165753559.6,258017711.9,551994935.5,101980426.5,230858756.6,84320932.77,53924074.97,1906780805,186744156,35366724.94,164189373.2,922581960.6,821104932.6,138389108.2,227848213.9,302333740.4,1021810929,196031627.7,421292008.2,539536079.4,1260303978,213044223.5,786071385.4,57653118.77,293735919.5,759904900.6,991871568.3,911893074.9,4412796750,398000207.5,1189531159,485146111.6,180916188.4,115505365.4,260751979.7,48379352.69,55497445,447011255.4,41200420.63,212113002.7,250669242.4,55173952.2,207678262.7,52713372.08,120853379,299542535.3,77412976.75,132912842.9,233467372.6,367309929.5,971267119.6,1414446033,534397889.4,1883476449,217656681.2,79272377.4,52409352.26,337551695.6,440280668.7,220125845.8,422809948,537080777,379681141.7,653583.8107,1167635.601,252930794.2,373202860.7,258255864.4,321931599.8,598768221.4,344907719.5,892750193.9,907683977.6,961366531.3,627324865.2,350166973.9,220125845.8,485985541,130.5058796,118.0963961,51.11739207,1.591,0.67,0.102065508,0.179972654
