,Class,class_int
0,After,1
1,After,1
2,After,1
3,After,1
4,After,1
5,After,1
6,After,1
7,After,1
8,After,1
9,After,1
10,After,1
11,After,1
12,After,1
13,After,1
14,After,1
15,After,1
16,After,1
17,After,1
18,After,1
19,After,1
20,After,1
21,After,1
22,After,1
23,After,1
24,After,1
25,After,1
26,After,1
27,After,1
28,After,1
29,After,1
30,After,1
31,After,1
32,Before,2
33,Before,2
34,Before,2
35,Before,2
36,Before,2
37,Before,2
38,Before,2
39,Before,2
40,Before,2
41,Before,2
42,Before,2
43,Before,2
44,Before,2
45,Before,2
46,Before,2
47,Before,2
48,Before,2
49,Before,2
50,Before,2
51,Before,2
52,Before,2
53,Before,2
54,Before,2
55,Before,2
56,Before,2
57,Before,2
58,Before,2
59,Before,2
60,Before,2
61,Before,2
62,Before,2
63,Blank,-1
64,Blank,-1
65,QC1-SameVial,0
66,QC1-SameVial,0
67,QC1-SameVial,0
68,QC1-SameVial,0
69,QC1-SameVial,0
70,QC1-SameVial,0
71,QC1-SameVial,0
72,QC1-SameVial,0
73,QC1-SameVial,0
74,QC1-SameVial,0
