,idx,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98
0,0,14695212827.7726,50084843.7791109,2399907499.88254,1094822948.6128,100398486.77463,4697349180.74472,1428023047.22834,103960477.081656,103901348.569043,165753559.595109,439392949.609135,283387517.386422,147057370.096464,284586774.210525,1352914278.3799,200968533.577919,548805182.999479,1610135405.54886,528368453.451093,384200.871144494,527049251.212049,723812060.371077,605719235.130009,411386119.724228,1195445881.91414,43233941.6569485,2171395.5048635,274299646.13364,750663446.284786,1150239286.96941,1181285347.84606,176794094.755202,148690301.066504,326221031.638924,202746217.061683,115554491.778074,907625008.458231,936465847.640484,1037335894.05265,71376758.7585727,169273185.0994,177280315.443792,366401874.73635,240746666.105396,206224449.441955,138561751.048809,202746217.061683,420838531.268049,774355361.230014,19395309.4807221,147656927.742242,803913847.187765,399835147.687195,16029426.6708315,93665624.7217251,204169933.276856,271344016.883804,257637783.671439,881838671.62043,628726873.270961,114133902.909217,719672395.925604,41218419.6460669,755389924.714556,144439972.54159,80547264.715866,21281754.5165892,6436664.73546371,65658715.1049298,95573329.2345666,385180521.784072,795290.909551433,67913054.6229605,146438430.691103,148414103.294676,690232719.654335,171725161.072194,234294904.938398,124457733.470541,331004304.944223,217744573.916168,298541329.713026,149686696.46091,63564777.8887822,17142886.6439123,336283427.01116,204861156.211388,238203491.330696,124457733.470541,200724228.59871,188844388.033037,297444286.412646,1924863.51387791,226152328.232696,404259326.280268,295607572.377688,619499299.773102,387181134.189315,222977374.753262
1,1,14879590806.0951,50927112.0174349,2633111818.94971,1125994122.13429,2074237976.7131,5173184209.82708,1387391788.65658,113539482.225864,119446675.078653,258017711.900445,577561491.398004,563239611.659682,563239611.659682,258077556.232632,1352812049.56954,216449425.708782,428527264.954129,1691721716.05441,605971136.720575,172245911.104211,47154815.5006288,39512003.4468184,644287131.551883,517464178.377837,1393947173.90983,96623302.618333,919912.928092546,295041227.644203,1014426118.65545,1357720464.41521,68070137.1377442,203618683.114118,385360037.338868,956295558.716915,773452564.138803,3052662.22987642,91944957.5165883,1107071282.45262,73942620.5950494,66983525.1912167,181954544.24247,198571931.954389,443374473.888177,251268451.151011,681739624.233434,160034132.118467,464562486.30696,449200588.989073,798239321.711069,18935964.9261875,111607325.869263,101215745.906687,488796990.491642,7358743.7924532,115916410.475105,145290941.663752,381636153.289776,302873588.708581,980011771.779433,714183485.369313,43636885.2387777,861843471.077606,43890098.2225074,894465354.996415,139272539.362995,92762093.4857517,19229772.4804391,5528079.46545072,3584301.91459598,118858231.05953,482988467.651881,975168.548874602,169475210.85651,182659830.288102,180329610.543215,733894134.767468,261579075.400439,343481201.843589,564045602.039998,372306622.084632,265189149.733981,334923015.712449,212729217.30638,6203440.69514862,33174229.193729,372890707.315284,154585005.115936,261054815.091566,204695263.956775,151872976.383942,214311075.902063,343720229.390631,1590324.29292242,519735734.678478,487046922.028916,337682036.420442,650788035.244167,470043920.83242,260458813.903301
2,2,28935691944.7289,4494501089.41665,1955069829.27296,737160364.870857,1560665979.07759,4623532910.85058,397946750.86136,161099436.868069,168015636.665203,551994935.523342,171752412.070839,162415162.088548,90641837.1900926,398196864.14536,2433661171.91746,231482323.673228,508110198.97596,359265762.507661,1155464422.98568,475272748.563974,2580223116.53106,474949351.778996,501960830.876965,127488858.952748,860439776.493457,293575540.738263,690795.275293469,800699096.896987,1376348756.80995,820075921.477931,495147103.092204,632312504.389151,92788610.2989365,1059616868.67756,1152399250.57002,3952574.60403039,474949351.778996,682700273.409653,33868328.5431352,124563466.097938,552835818.095745,712140745.386961,700635317.532649,303913778.014996,635953386.071393,224494182.64966,813762483.609444,1412823711.32457,673228223.705812,32346327.2619647,91025.5457092578,1108468548.89059,302313908.222811,4732706.27763848,269219306.361543,632607300.25391,480487505.251214,519875377.609653,1359222642.6251,739062371.510862,22304645.4214428,464909842.438039,121578660.437976,874441292.736298,41509507.3714963,329062093.836438,75069684.0829709,5609848.79277423,1960251.16502017,411100305.883375,305112754.942177,2032084.15439611,294005681.1273,359379396.63419,45481338.4198409,677715526.533046,139419782.470596,292947612.828439,121848903.598371,229933068.255766,260762796.926499,206311869.64711,187669172.451418,151048524.009518,38748968.3930216,645824618.065653,129610244.603427,201639284.838042,54426031.8529746,126921890.117541,155482505.345222,730636023.791694,178414.494722404,510161511.828159,291982943.667096,50782297.291455,764548587.54517,281711964.147573,598831779.227513
3,3,13691652708.7309,2065081508.09724,2362941728.20067,1412476816.50868,1802731809.48385,5287671995.05087,1002401847.76008,168939861.925121,172769086.548556,101980426.461544,398493272.370129,179346155.23708,28851141.4476537,248629456.64362,1525348470.06278,191426057.178459,362260040.687085,1197992792.0492,429658093.908229,22328005.7563966,2152477946.89706,232211197.795078,611656858.42988,201795925.751201,1561728083.13109,122366903.837752,687478.064242391,156419332.717211,1622895702.95005,1503994034.11208,1067189295.2166,103120165.383793,212593950.544549,924879832.508357,415903932.683903,7868970.41862226,232211197.795078,1233629805.6117,53480696.5251681,55441345.6816031,90396022.5977625,98508993.6532064,594050304.671546,153273202.006084,917416651.44051,292098166.379093,895254815.276197,791336550.229835,925242107.992216,26098207.7937856,21126273.5790786,232211197.795078,217715239.482078,7396851.90259946,64249206.5996655,115962694.069993,146615075.043676,483822491.420777,1071886694.93892,595419016.278222,139677791.200514,913123616.658061,76747939.5115595,855070029.87416,83808303.3819019,57805796.3683495,14663871.5946769,7039720.04908945,2217886.03662854,90144525.3363767,671979644.526197,975328.260050835,69948819.3591511,89166951.8526349,73060352.9364654,894672072.379391,354481473.408148,417402442.93259,325687929.128915,421389446.378159,246489859.373223,380092797.080974,279742347.925232,66448235.2563749,8971709.20973832,360196125.05837,94870351.7169058,302066691.725691,120447938.5,89951233.4581174,233589780.53926,298282485.207002,2195681.11357712,567204974.837839,576501676.104382,271162353.772513,704438865.410012,553719189.106329,266084918.762236
4,4,15619916250.6362,2923706667.83203,1235372564.74344,519930088.417437,89141849.6655023,2388719387.33104,495664405.290204,96661281.8565693,97328370.7243747,230858756.567634,113157735.219162,106886892.649342,61604546.3013716,73250758.7391802,1302056206.17098,27707508.6207736,170130617.168689,283175866.73603,1197099460.30655,677622450.625704,2615566711.57177,669968347.942564,312405280.118422,109505612.102047,842702684.810721,67700681.9906549,1353239.25974694,211762626.848941,658083785.160271,798574444.889529,1201775622.49316,330948765.319459,60591381.576362,716627474.65724,669968347.942564,4211563.02389401,154598000.582413,648257654.398419,242802237.554567,38120307.8472159,271364275.414231,211510076.289441,529874712.467731,249452683.671687,430448101.85671,144727621.83105,482078302.204005,563530760.518147,280051778.972544,21223371.7379212,23026710.281634,146946837.208342,183311001.645169,1175103.57689853,261058961.690012,270665217.088938,62065999.7396314,376296974.403386,480506269.957771,274903279.821753,15871744.815136,111888064.15349,31474828.6538763,200800017.466612,43930297.0550448,168627620.434147,81822190.0784143,6867212.76366111,1395481.42484262,214824874.19551,160068476.255271,218537.256286956,262753159.243647,115838948.616745,31169831.8196278,546041405.097812,82785346.3190098,99391259.90122,37226303.1715997,244030076.921747,122034420.632849,223316994.239614,148107584.50034,77043653.1974156,24197294.7399302,140696655.917431,30968562.6398924,107134174.946151,25887741.4037504,28899638.5405751,83211085.0171511,117536560.503975,149893.097799564,204408422.005923,95897323.1113876,44565686.3975299,234063148.226121,88860179.5054027,181282202.612113
5,5,11828418517.881,2262918009.05371,645002668.627718,376096595.376513,24005123.472105,712078442.099376,194011650.390003,98980425.0592459,99375034.8151673,84320932.7733242,53873393.6287608,39022082.5419746,11789411.1597205,95671386.8623634,300716094.058278,77794427.6390763,427811583.434626,710065728.232696,1081695543.46563,177392291.02836,1064201984.20809,89142956.2892775,191429035.82926,265064839.814259,507649149.996794,29060437.4455709,3333776.48703847,80648302.8610884,215113286.079627,494764750.187195,923018640.768129,94072944.922506,21728656.5647259,625446227.212024,619061950.407861,38629713.378644,697768356.697651,397763370.035634,106844834.572406,97616970.3413333,84455843.060515,62237497.2175254,86622471.1914569,62373471.6219126,495072840.813317,166297005.846774,490604089.312183,87243496.6983176,134088343.591729,31930733.7454662,34514905.0738115,89831587.1318211,37324678.8507724,14600524.1907315,41839837.7325281,48434491.6964391,113992809.002799,1503294.97088461,209097410.456057,190986096.062163,112719260.594634,54832893.8495124,20865539.8455704,255143184.034095,93448140.9026642,29518580.6796026,109335533.107472,9394071.25419989,1689213.97345694,51382712.1461164,57713808.7749948,446390.14396866,51970865.1364417,92228950.0550108,88280906.1145095,206136447.034095,36795860.2420723,23970044.244897,45018935.1604837,140999562.170351,45472184.8707312,127009794.520927,17241470.9025815,16028608.3603914,322587856.939623,48361139.3729258,45434416.8010256,64093432.6224688,17222104.8153978,41817390.2289189,49476308.4016607,241145695.763872,137719.268550201,75897492.5326992,46657808.9552355,39176870.9692339,102885516.864266,39638453.7212621,38292389.8466684
6,6,12506316034.5207,84773170.1427917,911699874.863768,857548140.93568,64972886.5553341,1680364485.26711,337672841.93753,110430727.328268,111464996.84395,53924074.9729988,94457536.5314576,64753197.6612054,25706497.6064732,266054907.266655,854985615.551776,204227855.091262,537439415.614759,365891270.990376,960252502.726882,139453413.910024,345297584.461676,232803904.51527,224193929.358468,48236758.3474846,862108752.503708,39662931.6330709,1999699.59248684,55799265.7186684,206124931.945909,816835865.027343,1106917214.23679,102485967.393211,36534779.14567,712402709.697419,704403919.934383,97213315.1922919,232803904.51527,663059049.51473,234345804.989312,17826783.3238104,61700446.3992702,85292713.9428089,327497470.694083,93540972.3323054,707340047.677619,193723429.335659,704403919.934383,295392218.943737,232090741.350591,17148460.5902141,5387743.04265367,232803904.51527,54922248.9248701,30814855.830877,71208842.5836793,50820526.8758792,36403779.5755467,243593522.154883,193242718.924542,296324396.746397,149780241.106443,161755702.836534,18647289.6256775,246431828.998682,15927387.0437473,54470612.7747528,96918853.5857025,341012.059057913,1803084.05602112,46513684.2924255,150622887.238776,537480.685181292,69873522.3443161,147315865.745467,19753085.0914372,380879170.347269,101811187.106721,88077626.3394886,87548515.5254159,248255550.501953,64865608.785113,225994960.771239,58317996.4123511,32712427.1060612,262856075.689324,112630556.86306,56821946.4704595,90505070.5628063,82153279.5524944,52595718.171442,128431004.533548,212112752.472734,119770.094145274,222716822.930497,135296138.555136,42277757.4373015,301026748.056059,125064589.758269,164042859.540866
7,7,29308521354.7254,5729082027.34471,2073720165.88797,1415623643.92767,1675200247.53449,5646441638.81073,1511325684.56733,81183434.0524556,89964823.3835258,1906780805.15061,326554364.070209,310882628.028781,352353851.294435,342082128.756922,1870496562.60252,307355155.293372,517518684.436058,1869438468.13276,2264631260.3318,333427168.816934,2261756559.00706,514041117.866809,484286186.517381,121141801.328257,1776399819.92277,147464047.49241,718551.207265237,2189986635.2831,1391861952.22613,1701029397.04171,1421880764.10681,1785880823.20919,260334339.055134,1937169889.09131,1891998900.37206,4055660.52764571,976966138.61547,1422122239.60551,515086162.812382,40148177.4946657,1585122743.95813,2033733192.2364,455921790.107674,1760101333.16264,1907253679.03127,668732195.447635,1891998900.37206,1101985591.54058,734684815.098762,268965840.793065,192565915.729675,514041117.866809,905537204.824825,10450002.7416895,948716449.758,1415337057.34654,1088045875.6542,322200870.349701,1046996891.53581,544102683.398028,37357652.5469471,837575904.326708,48620120.3167567,514118631.22052,51061561.3959472,1092174674.35434,184876726.449918,3415718.21497052,2770710.99955467,1197604178.64727,472288211.427171,934744.079338933,1088045875.6542,1007593108.43441,36170962.7609367,920609879.892463,311799479.277203,298266990.880804,341073511.122041,459002608.020999,176280918.023505,416313111.356348,243457700.705756,927896141.064594,7158686.71885296,637766765.384729,190000436.876749,256899697.227544,146063181.297471,179968494.949998,209808698.860458,649140767.739641,4021878.11290938,640696327.945652,544365664.151472,535730279.324841,685643558.576646,522210242.439392,333559579.074049
8,8,9707588463.41408,64630790.4584097,1970655093.62821,1208457597.7316,1576331795.06387,4205467337.37392,1154058419.18086,91597684.7280048,96771312.5049917,186744155.966691,312346167.635697,299331920.677013,32309610.6479597,194572558.391593,1321576008.35628,168189002.961503,126549713.773778,1342316424.87658,1219029210.04576,319721764.996373,275876716.33537,383607459.601188,428490512.625954,145913499.789172,1371054394.96846,58310121.3805691,987043.450969342,234104311.093411,954566278.834733,1324269591.62763,129607682.846156,165631757.146191,137283437.583879,1440103915.59686,1408243330.22787,427771120.983984,383607459.601188,1096489079.08683,390328788.089662,68476620.2224332,145934609.154888,159485319.17551,575031065.463499,208146039.734637,508430606.140108,327194018.552265,499111600.645231,602577037.79316,704927591.25473,26235827.2153812,132852367.152937,383607459.601188,346547174.016493,240166197.129069,109721578.049912,81728233.3724972,270805159.965522,463964326.772914,813370952.573011,164605553.563191,116781904.696192,660797769.032346,70480260.7003343,582611114.984011,59828049.3227723,95896306.6179224,162218071.537752,8414547.39700129,1989498.72002877,101714790.273746,612741304.438956,1243184.92229431,113117760.164328,145867414.592136,47717706.6600631,720880971.36822,377173917.313538,291476031.71265,282667786.68601,355971972.753411,169764390.737956,322054145.567806,84138939.054568,63163725.0372027,290187613.858335,324556743.13918,113719395.407594,186747840.453481,282667786.68601,104947961.034345,164056383.030204,200662635.286937,724007.270344811,409965358.485536,497153465.608705,229974310.297131,470682013.197191,476518998.400562,211144961.645984
9,9,8358910777.58378,1582516077.054,1165087999.30047,430624947.51047,122948526.021202,2070103374.10235,606181105.211757,145078238.522153,147405672.806875,35366724.9366865,49912912.6592843,82598415.0760597,53149949.1694796,246532951.548052,943114559.060037,189671626.992041,102246854.162022,209824214.170602,677195611.17284,9226649.4750581,1480350846.93773,367361727.165054,276707706.542489,25389947.7416575,818064209.104886,51498535.6289555,1308064.43711893,55572702.311946,159540114.733854,761497168.492236,448213468.141701,38990767.2946043,48575286.6514397,1085628400.4835,1062789719.49349,9000268.04792148,438897288.110353,625677842.656149,39814116.0674741,54434256.0260238,36554881.0617505,32581103.5411335,533060928.794184,46385148.3958788,1071868172.374,95501242.7367107,1062789719.49349,321595651.051055,119797846.889342,8895530.46346514,22380047.5844398,25882850.5717285,26401327.4338535,1535564.50509834,22059687.9972926,29366327.0583705,57758525.9221357,396638271.62716,247395999.902215,401597976.863225,86571904.0695611,126718667.360506,16027456.0842349,287804815.775269,8225999.70485078,23744738.4363953,8914653.08616065,18105179.2385809,1515356.91609614,19302416.4586605,147325150.172695,418763.647671817,24451476.2059351,36833861.5188072,10928061.1158617,450268471.029359,95795062.4283621,65432942.8529199,72018282.4336402,237822914.882111,52553143.1916827,217700161.617295,138252402.514795,27335555.6133254,83224176.8708913,90985624.429824,79707222.8883045,114924850.083436,50268897.5922797,74002077.7179244,86439226.6155088,127760761.979774,85091.5746879568,168700566.968542,105941504.124855,30575448.587058,208314095.649552,99145079.9946612,69181330.4225527
